0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,Gas_Name
100.000000,191.678400,1.097676,0.085713,0.374642,2.811447,-0.119149,-0.365198,-2.850503,37699.609300,3.410369,9.692600,14.618374,24.715278,-8.165545,-12.094239,-34.006684,8932.682900,3.424292,2.519343,4.476731,9.334217,-2.016334,-3.410085,-9.919937,9036.281500,3.303704,2.540368,4.411801,7.623647,-2.004905,-3.284269,-10.582721,2397.743200,2.298949,0.858986,2.086802,5.056685,-0.588877,-1.144501,-5.434928,2149.170800,2.187579,0.772232,2.044545,4.349598,-0.529639,-1.112689,-4.452800,11864.302200,3.680024,3.746102,7.045698,10.688661,-2.856566,-5.107787,-13.541820,12503.934100,3.631380,3.994928,7.655898,11.861445,-3.033432,-5.399332,-12.707092,33209.031200,3.313124,6.974960,9.710674,16.653879,-5.851903,-8.429603,-26.192714,21114.495100,2.735633,4.193540,5.835873,10.278766,-3.500111,-5.037374,-15.469851,10877.833900,3.608550,2.834880,4.323547,6.233371,-2.287414,-3.360956,-7.785282,8926.402300,3.514866,2.361454,3.708356,6.265744,-1.906495,-2.824825,-6.552052,3281.951100,2.352164,1.139184,2.904699,4.703665,-0.761658,-1.397183,-3.552804,3224.382300,2.335492,1.120283,2.875418,4.791037,-0.742220,-1.282544,-4.057572,14282.364800,3.973612,4.081411,6.915375,9.600034,-3.273612,-5.293610,-10.223869,12723.271000,3.888402,3.740372,6.324860,8.530802,-2.909987,-4.585015,-8.863957,Acetaldehyde
25.000000,1026.771100,1.778150,0.217603,0.456212,2.717769,-0.120566,-0.366165,-2.849829,43174.535100,4.856851,9.245458,12.537111,22.710297,-6.796471,-10.219551,-38.371321,5727.292000,2.781960,1.399761,2.629207,5.699241,-1.009512,-1.795951,-6.459613,5851.159200,2.716979,1.424782,2.571962,6.156511,-1.008044,-1.710250,-7.001899,1624.380900,1.949066,0.442316,1.082046,4.063169,-0.308871,-0.729253,-3.331484,1496.608200,1.896552,0.430390,1.023637,3.651014,-0.293531,-0.682750,-3.683393,7602.567200,2.969736,1.929007,3.787076,8.162997,-1.433906,-2.486791,-8.486986,8036.963900,2.942639,2.064181,4.088119,7.229885,-1.519608,-2.724047,-9.508092,23296.909200,2.890624,4.706019,5.838126,13.835841,-3.734678,-5.696814,-20.653101,13898.226600,2.319187,2.780250,3.565395,8.841275,-2.014310,-3.138329,-10.936581,6723.945100,2.826210,1.526820,2.521124,4.813483,-1.116159,-1.706533,-5.475701,5310.131800,2.669989,1.222960,2.120624,4.456644,-0.916206,-1.411785,-4.127651,2412.941200,2.106933,0.697654,1.551727,3.617705,-0.430299,-0.778288,-2.574608,2414.588200,2.109409,0.711666,1.520980,3.209453,-0.419389,-0.766572,-2.739835,8564.565400,2.985754,1.980935,3.642785,6.130027,-1.559282,-2.429851,-6.116201,7552.893500,2.904174,1.795621,3.273222,5.340532,-1.381657,-2.131961,-5.697300,Acetone
100.000000,311.874800,1.195577,0.105731,0.352459,2.475420,-0.111241,-0.339984,-2.832566,37446.279300,3.405166,10.401945,15.758338,27.792169,-8.081846,-11.823760,-34.477188,9037.591500,3.508875,2.682242,4.629288,8.149477,-2.052230,-3.265251,-9.351781,9177.453800,3.400851,2.689005,4.566247,8.564968,-2.058041,-3.353815,-9.160002,2390.703300,2.280847,0.918017,2.127121,5.356943,-0.606058,-1.175949,-3.991848,2145.691200,2.187742,0.822652,2.068018,4.831616,-0.542103,-1.047822,-4.290689,12068.783700,3.769239,4.019382,7.564801,11.530287,-2.955678,-4.915542,-13.399679,12687.013700,3.711335,4.264431,8.169749,13.556403,-3.152237,-5.184052,-15.621357,33657.651400,3.412502,7.464907,10.113706,16.797442,-5.796040,-8.624661,-26.946378,21625.343800,2.869699,4.490125,6.087811,10.496653,-3.455964,-5.011802,-15.319372,10946.383300,3.665541,3.050847,4.723098,7.029046,-2.331621,-3.439979,-6.748960,9052.519300,3.619156,2.527696,4.010646,6.053894,-1.946049,-2.950123,-6.478512,3270.888100,2.353066,1.209712,3.117890,5.157615,-0.788082,-1.328888,-3.631993,3235.659900,2.346452,1.194858,2.964023,5.277093,-0.769946,-1.315455,-3.853728,14408.754400,4.013333,4.406118,7.519377,10.501141,-3.386627,-5.355078,-11.195090,12779.939000,3.928582,4.018307,6.862054,9.348754,-2.988805,-4.620737,-9.125395,Acetaldehyde
25.000000,987.016900,1.843827,0.218607,0.458205,2.371428,-0.113612,-0.358310,-2.873190,43444.686600,4.880730,9.285713,12.280624,21.829699,-6.915885,-10.510113,-34.266964,5860.166500,2.839533,1.387715,2.568842,6.183717,-0.994890,-1.838026,-7.116880,5957.604700,2.756500,1.427157,2.519515,6.003876,-0.991447,-1.807979,-6.687940,1641.012700,1.961290,0.452845,1.014258,3.643179,-0.307598,-0.752385,-4.177789,1539.708500,1.919440,0.426330,0.998463,3.618254,-0.288995,-0.667260,-4.115024,7833.830000,3.037402,1.946604,3.730986,5.987898,-1.428635,-2.590214,-8.100856,8289.991700,3.014394,2.069591,4.058614,8.534568,-1.498494,-2.804536,-8.683342,23620.310500,2.914096,4.789603,6.031754,13.537857,-3.805380,-5.692420,-20.992567,14004.940400,2.331310,2.811124,3.540104,7.994876,-2.058854,-3.222262,-10.900729,6842.930700,2.865311,1.533472,2.512656,4.781152,-1.107027,-1.697384,-4.723360,5430.877200,2.718183,1.229798,2.102073,3.884891,-0.905171,-1.410752,-4.435793,2445.626900,2.116235,0.693610,1.596672,3.484752,-0.418788,-0.812926,-2.858620,2493.134500,2.153931,0.702578,1.512683,3.216589,-0.422154,-0.782928,-2.730792,8844.115200,3.052315,2.007671,3.717404,5.914351,-1.546787,-2.516976,-5.839553,7793.915300,2.973458,1.805378,3.287693,5.579101,-1.385286,-2.154179,-5.951694,Acetone
100.000000,152.406300,1.100063,0.076945,0.312981,2.852317,-0.090156,-0.327995,-2.558954,36803.703100,3.352927,10.032339,15.216894,25.932122,-7.985050,-11.830871,-36.372158,9191.121800,3.549576,2.718382,4.851848,8.497943,-2.066737,-3.358086,-9.423503,9355.166000,3.442768,2.712291,4.757626,8.624636,-2.052028,-3.307387,-9.897274,2433.159600,2.315530,0.914619,2.266739,5.371194,-0.603116,-1.155514,-4.350984,2165.091700,2.193681,0.825225,2.184992,5.031452,-0.542492,-1.071337,-4.291837,12080.900400,3.760952,4.048180,7.752965,12.052856,-2.923959,-4.834026,-12.527978,12858.699300,3.729982,4.309368,8.209763,12.769590,-3.120876,-5.135247,-13.210814,33450.646400,3.388052,7.396521,9.981520,17.931982,-5.803543,-8.440849,-25.690057,21626.946300,2.861289,4.434181,6.067190,10.427273,-3.501196,-5.087753,-15.480832,11167.843300,3.717326,3.058157,4.727176,7.019645,-2.338089,-3.403209,-7.474786,9073.967200,3.631640,2.530422,4.051635,5.973663,-1.939449,-2.912937,-6.491283,3291.445300,2.353972,1.203923,3.073002,5.078489,-0.771943,-1.292681,-3.326231,3246.169400,2.345774,1.207539,3.006338,5.171739,-0.754574,-1.304762,-3.195409,14574.021500,4.019066,4.444806,7.494327,10.143905,-3.356570,-5.204200,-11.031052,12841.663600,3.935718,4.044853,7.059461,9.974182,-2.957880,-4.708727,-9.735142,Acetaldehyde
25.000000,938.891600,1.853794,0.200317,0.434305,2.659174,-0.107299,-0.350245,-3.013861,43368.876000,4.840947,9.326189,12.206250,22.390819,-6.902912,-10.086689,-34.562821,5819.603500,2.821134,1.385270,2.478800,5.810582,-0.992660,-1.777225,-7.362413,5895.886000,2.735017,1.397298,2.439468,6.098484,-0.995394,-1.762564,-7.285837,1634.219400,1.949978,0.434476,1.000290,3.342396,-0.313043,-0.731120,-4.083901,1511.117800,1.899506,0.427610,1.052815,3.566369,-0.279877,-0.688055,-3.681971,7747.442100,3.006458,1.923651,3.697700,7.577701,-1.408695,-2.346820,-9.777840,8132.206500,2.960877,2.024119,3.939663,7.320626,-1.502607,-2.771515,-10.330102,23834.682600,2.922839,4.831716,6.030676,12.453884,-3.860350,-5.850506,-19.210877,14186.128900,2.342747,2.833526,3.627726,7.836037,-2.100929,-3.275302,-11.868483,6747.416000,2.838208,1.502537,2.405300,4.995949,-1.113302,-1.645372,-4.480024,5366.601800,2.710335,1.211219,2.034464,4.303652,-0.906744,-1.366496,-3.841620,2405.501000,2.092488,0.681226,1.540031,3.691749,-0.411698,-0.779378,-2.895875,2451.472400,2.131999,0.694821,1.529931,3.369845,-0.407017,-0.732235,-3.485311,8716.915000,3.018112,1.965932,3.613353,5.728764,-1.543319,-2.417107,-5.895407,7652.287600,2.933408,1.788761,3.308548,5.701733,-1.356895,-2.097290,-5.174066,Acetone
25.000000,883.148400,1.884272,0.191620,0.468518,2.647577,-0.095631,-0.331544,-2.550555,43237.489200,4.830812,9.215267,12.191895,22.903153,-6.914215,-10.200943,-37.030220,5845.474900,2.821791,1.397896,2.517168,5.684292,-1.017563,-1.810666,-7.261718,5958.918200,2.741267,1.413936,2.439119,5.339321,-1.041976,-1.816292,-6.428961,1605.036300,1.929147,0.434042,1.029225,3.512942,-0.315059,-0.723400,-3.631791,1512.678100,1.895224,0.425870,1.100441,3.822992,-0.290732,-0.704808,-4.159883,7791.093300,3.009941,1.946367,3.795715,6.490205,-1.457464,-2.566879,-8.949521,8241.184500,2.966701,2.052703,4.007048,7.363053,-1.544285,-2.726508,-10.890250,23832.290000,2.915819,4.817442,6.038978,13.459526,-3.845464,-5.839651,-19.654023,14158.720700,2.335446,2.823800,3.588446,8.288373,-2.103601,-3.299097,-11.283470,6843.851300,2.859083,1.528448,2.423961,4.466406,-1.143621,-1.732580,-4.977371,5408.204300,2.721897,1.225852,2.024744,3.949987,-0.921237,-1.419614,-4.149433,2422.771200,2.094905,0.674538,1.518309,3.467707,-0.431020,-0.782930,-2.763237,2460.765800,2.131504,0.691341,1.527572,2.997557,-0.423870,-0.786517,-2.849669,8824.998500,3.034321,2.012383,3.691289,5.962855,-1.598747,-2.533691,-6.041612,7753.956800,2.960666,1.798879,3.256084,5.220516,-1.399524,-2.173226,-4.977241,Acetone
25.000000,790.316600,1.822678,0.180125,0.427796,2.534120,-0.100204,-0.344694,-2.698189,43097.392600,4.809925,9.183753,12.116837,23.518192,-6.919699,-10.409338,-34.084365,5922.126200,2.847805,1.386893,2.491133,6.016825,-1.015669,-1.733335,-7.602485,6026.721600,2.770473,1.424092,2.485240,5.592385,-1.016581,-1.746883,-7.469508,1625.750000,1.942482,0.434898,1.042041,3.865211,-0.311918,-0.724445,-4.505529,1551.543600,1.931191,0.417530,1.068767,3.516848,-0.291970,-0.672867,-3.458457,7882.703600,3.038186,1.926825,3.693928,7.376207,-1.447570,-2.527306,-8.676241,8308.924300,3.002702,2.056183,3.952085,7.934280,-1.538183,-2.590513,-9.541302,23848.916000,2.912740,4.811969,5.997275,13.006993,-3.862167,-5.813042,-19.434984,14069.176800,2.318553,2.824458,3.581670,8.260539,-2.115577,-3.314281,-12.461360,6875.054900,2.854184,1.520952,2.445119,5.182699,-1.134421,-1.719024,-5.500360,5494.445500,2.760523,1.226203,2.008132,4.416116,-0.920770,-1.414871,-4.462428,2451.860600,2.112319,0.686438,1.536605,3.167437,-0.425227,-0.783223,-3.544260,2493.751000,2.148964,0.695772,1.581603,3.094954,-0.416884,-0.742757,-3.398749,8868.440500,3.054145,1.997908,3.656743,6.570548,-1.581703,-2.439551,-5.139482,7815.619600,2.978636,1.794103,3.288392,5.974411,-1.393904,-2.144536,-5.094692,Acetone
25.000000,927.444200,1.974537,0.198430,0.399770,2.348073,-0.097212,-0.353349,-2.707827,42886.844700,4.774992,9.051025,12.065639,21.703715,-6.866756,-10.289753,-35.832537,5844.482200,2.797700,1.385704,2.563260,5.673019,-1.005420,-1.743574,-7.220786,5968.214900,2.735349,1.409907,2.473014,5.558040,-1.001929,-1.716002,-5.994748,1625.617500,1.942650,0.443496,1.063842,3.375124,-0.303843,-0.716077,-3.956074,1527.717000,1.905793,0.419383,1.012089,3.522365,-0.288733,-0.672216,-3.864340,7854.800300,3.001371,1.929650,3.627314,6.372009,-1.433595,-2.598043,-9.239352,8261.505900,2.974175,2.037416,3.965627,7.385483,-1.513116,-2.688801,-9.359508,23917.459000,2.915332,4.817961,6.070557,14.876611,-3.863795,-5.916126,-21.855174,14059.341800,2.321759,2.815700,3.533869,8.245819,-2.101539,-3.198116,-11.547347,6832.534900,2.840742,1.515764,2.452242,4.990313,-1.116936,-1.693249,-5.430813,5444.945600,2.718646,1.218451,2.059509,4.143078,-0.918879,-1.382984,-4.451557,2427.623500,2.096736,0.686142,1.575143,3.541967,-0.415775,-0.729251,-2.904129,2445.056400,2.108622,0.689058,1.490828,3.247799,-0.414388,-0.732453,-2.675453,8855.937500,3.041611,1.971447,3.673613,6.783282,-1.560425,-2.345087,-6.381689,7763.524200,2.931669,1.790596,3.291536,5.889529,-1.386489,-2.169440,-5.808496,Acetone
25.000000,851.435800,1.937378,0.182199,0.424462,2.587333,-0.123296,-0.431997,-2.720207,42941.466800,4.775602,9.104099,11.908617,20.787657,-6.918024,-10.242194,-36.749349,5917.088600,2.817316,1.377639,2.620082,5.453655,-1.019962,-1.847626,-6.464428,5993.207300,2.730760,1.414720,2.582161,5.662285,-1.030588,-1.728309,-7.282263,1616.251200,1.934187,0.437071,1.124433,3.541976,-0.310019,-0.714286,-3.739261,1521.055000,1.896639,0.426787,1.166261,4.140422,-0.289731,-0.646472,-4.232922,7894.445800,3.004052,1.921400,3.658737,6.691177,-1.475868,-2.533292,-8.885829,8269.417000,2.966664,2.030182,4.082380,7.813686,-1.546025,-2.780236,-9.647616,23875.608400,2.905060,4.824918,6.057370,13.598311,-3.876912,-5.841768,-19.535966,14093.458000,2.320915,2.801739,3.509775,8.327274,-2.099526,-3.362524,-11.966570,6863.424300,2.842526,1.519294,2.482874,4.453995,-1.137577,-1.712015,-4.893574,5451.423100,2.712900,1.217154,2.076171,3.813627,-0.922575,-1.375390,-4.412451,2406.649200,2.081443,0.691348,1.562466,3.666475,-0.423299,-0.746966,-2.957384,2446.952600,2.106925,0.695180,1.619320,3.676787,-0.414903,-0.751017,-2.855797,8782.859300,3.007531,1.967780,3.688144,6.834395,-1.569407,-2.358958,-6.064830,7842.797900,2.955282,1.790619,3.293184,6.186787,-1.400914,-2.069924,-5.354382,Acetone
