1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,Gas_Name
79669.621000,57.102431,12.165471,17.228015,18.266019,-17.543669,-22.992407,-36.005547,73085.724400,52.674576,14.647445,23.656121,25.056577,-15.232851,-20.346297,-29.393110,20757.918700,6.391225,4.101275,7.460052,8.423975,-4.566335,-6.295453,-9.259678,20582.400400,6.265032,4.104927,7.677355,8.575529,-4.535790,-6.284579,-9.219363,3903.681100,3.406625,1.063812,3.217147,4.256209,-0.780353,-1.252798,-2.170336,4373.035700,3.538104,1.136000,3.286735,4.284596,-0.875100,-1.296537,-2.256125,28553.622100,7.848352,6.151213,12.636146,13.964818,-6.930295,-10.327137,-13.192912,30076.272400,7.445927,6.659074,14.481048,16.482933,-7.514936,-11.559286,-16.428602,71253.899200,45.083403,11.706524,16.096557,17.325973,-13.836756,-17.675765,-30.797192,68298.136900,43.468089,9.291519,11.709281,12.750002,-12.487836,-16.021570,-25.482730,25953.611100,7.422282,5.212496,8.747683,9.889164,-5.532698,-7.647569,-12.734557,21573.813500,7.565850,4.109863,7.048772,7.953018,-4.642984,-6.369653,-9.952123,7996.228000,4.485117,2.071506,6.630657,8.713880,-1.705051,-2.805675,-4.371672,8410.890200,4.478967,2.178072,6.501975,8.278703,-1.699922,-2.539477,-3.901612,36436.103500,10.197013,7.647767,15.437029,17.135659,-8.825550,-13.989530,-19.696548,32615.371300,9.953570,6.971065,13.647688,15.101238,-7.733062,-11.838076,-16.338610,Ethanol
78168.303700,41.166591,22.355165,33.827024,35.611594,-17.717199,-23.526898,-37.249389,70733.130500,37.113047,21.475533,34.526257,36.176569,-15.296522,-20.585794,-32.989229,21850.592500,6.503506,6.945647,15.819391,18.154457,-4.795449,-6.680795,-9.584967,21593.270600,6.276445,6.977353,16.422238,19.049384,-4.772910,-6.743689,-9.710564,3689.528000,2.882806,1.569408,5.287163,7.073221,-0.793648,-1.244929,-2.043596,4119.613300,2.991277,1.712192,5.780506,7.886192,-0.871393,-1.357328,-2.460716,29975.459400,7.726791,11.123853,27.454050,32.256678,-7.282336,-11.100475,-15.344467,31652.126000,7.520064,12.061248,30.890688,36.866186,-7.940807,-12.780840,-16.730351,70295.641100,27.386020,19.497133,28.776132,31.063890,-14.167643,-18.341954,-31.900110,67392.415800,26.239366,16.970940,23.928228,25.238447,-12.685343,-16.442977,-28.071717,26928.891600,7.054658,8.384839,16.759799,18.778929,-5.831198,-8.175862,-12.511455,22268.870600,7.124959,6.938376,13.720336,15.514862,-4.844876,-6.680479,-9.501535,7928.075700,3.996387,3.454323,11.470141,15.850240,-1.755409,-2.796201,-4.163538,8355.370600,4.008083,3.413103,11.050919,14.542951,-1.734717,-2.629008,-4.362108,37422.944800,8.854930,13.768645,32.516535,38.767686,-9.300852,-14.827239,-20.359838,33564.465800,8.716962,12.304910,28.439888,33.643497,-8.091471,-12.526578,-17.380774,Ethanol
78706.046000,41.288937,22.071437,33.081049,35.386595,-17.962492,-24.006303,-35.676830,70890.394500,37.009177,21.074763,33.874755,35.394275,-15.458094,-20.914616,-31.113926,22749.361300,6.556749,7.210843,16.318779,18.594630,-5.027759,-6.829349,-10.694721,22479.193800,6.353190,7.271057,17.179511,20.128150,-4.977562,-6.816145,-9.563454,3798.199000,2.913658,1.597104,5.370756,7.546587,-0.811304,-1.294111,-2.143604,4227.705100,3.018491,1.721679,5.757960,7.800607,-0.897259,-1.337555,-2.240309,31228.372000,7.781004,11.566977,28.463358,33.431784,-7.612032,-11.453373,-15.541663,33001.375000,7.607047,12.566453,32.311117,38.705402,-8.239312,-12.737010,-16.804963,70976.616200,28.258309,19.389457,28.552919,30.369968,-14.470501,-18.736626,-30.504744,67891.458500,26.890667,17.001106,23.903425,25.888126,-12.864942,-16.666474,-27.870882,28005.730500,7.137055,8.688411,17.508388,19.964200,-6.053729,-8.325743,-12.865694,23139.378900,7.166130,7.162694,14.108053,15.843935,-5.069383,-6.870773,-10.400484,8131.251000,4.025695,3.543109,11.790829,16.135743,-1.787323,-2.910807,-4.766727,8581.248800,4.032886,3.463818,11.179894,14.727380,-1.791004,-2.634540,-4.190185,38942.118200,8.938646,14.276747,33.881935,40.766095,-9.577118,-15.291664,-22.250709,34830.813000,8.742292,12.760598,29.543934,34.960839,-8.390446,-12.988813,-18.296826,Ethanol
78223.647300,42.084330,22.206579,33.529037,35.563630,-17.830512,-23.856695,-38.110852,70133.636100,38.427751,21.016618,33.734918,35.747618,-15.313454,-20.613214,-30.707902,23163.238700,6.618273,7.499830,16.997392,19.412559,-5.106629,-7.026854,-9.798570,22893.743100,6.397758,7.517996,17.497816,20.111691,-5.057096,-7.042207,-9.779176,3838.184700,2.904566,1.625746,5.393577,7.378521,-0.826367,-1.350425,-2.156012,4262.245100,3.012974,1.770988,5.931712,8.225438,-0.901343,-1.359599,-2.282641,31794.966300,7.839905,12.052641,29.556870,34.669829,-7.709873,-11.622297,-16.685872,33487.059600,7.589201,13.003291,32.971317,38.899551,-8.348290,-13.171003,-18.012257,70613.125700,28.951765,19.409092,28.538148,30.963788,-14.422878,-18.668499,-30.269945,67666.548300,27.184385,17.171373,24.091732,26.283461,-12.793608,-16.394156,-27.170163,28423.775400,7.152970,8.976752,17.887063,19.879249,-6.152825,-8.570987,-14.661647,23491.063000,7.215910,7.427154,14.699651,16.732032,-5.130417,-7.113761,-11.457775,8209.422100,4.003358,3.618004,11.975544,16.772177,-1.815670,-3.034302,-4.891101,8688.874500,4.051827,3.575683,11.589690,15.446903,-1.798065,-2.688747,-5.218508,39501.101500,8.906589,14.815392,34.847526,41.747185,-9.788534,-15.577405,-22.184651,35407.416000,8.785503,13.246525,30.623769,36.486808,-8.552356,-13.216110,-18.937609,Ethanol
78369.647200,41.883374,21.997497,33.427331,34.722410,-17.861631,-23.960125,-36.123306,70007.867400,37.822782,20.845556,33.547141,35.333159,-15.242815,-20.652262,-32.646469,23133.759300,6.592610,7.516588,16.979754,19.291098,-5.121622,-7.094961,-9.995447,22893.737800,6.383500,7.517057,17.610669,20.307636,-5.077325,-7.097468,-10.222793,3883.419700,2.937394,1.631136,5.391528,7.296821,-0.839347,-1.342365,-2.025292,4286.656200,3.038752,1.754359,5.847200,7.860829,-0.910922,-1.384505,-2.252803,31768.372100,7.800410,12.037149,29.482017,34.678939,-7.753779,-11.807083,-15.696317,33660.244200,7.617974,13.029709,33.132039,38.969937,-8.425635,-13.280335,-18.278663,71025.989000,29.180687,19.323775,28.606041,30.822581,-14.466151,-18.708047,-29.137655,68145.413100,27.414461,17.067526,23.957872,26.586996,-12.908437,-16.538701,-29.233330,28381.370600,7.147493,8.989920,17.930679,19.804004,-6.169080,-8.589294,-14.375943,23421.635900,7.176307,7.448376,14.680482,16.463427,-5.142756,-7.067729,-10.054751,8225.084400,4.024840,3.603136,11.952129,16.080362,-1.826385,-3.050102,-4.279860,8668.333800,4.054115,3.556663,11.476726,15.522619,-1.807175,-2.694236,-4.472589,39536.135700,8.907806,14.788607,34.966011,42.040467,-9.804101,-15.854848,-25.174227,35280.890100,8.714950,13.222996,30.609302,36.301621,-8.555189,-13.210008,-19.442135,Ethanol
78038.376100,42.549512,22.088238,33.284379,35.258635,-17.763990,-23.712311,-33.799795,69641.330400,38.764734,20.830712,33.379162,35.072032,-15.171693,-20.414930,-33.747978,23114.397000,6.589248,7.544115,17.041293,19.381574,-5.134009,-7.158200,-10.613142,22802.373000,6.368274,7.571703,17.651335,20.930377,-5.092714,-7.208586,-10.146567,3881.485700,2.932584,1.644420,5.406012,7.396830,-0.843212,-1.384452,-2.042714,4277.109200,3.022504,1.756768,5.838318,8.002643,-0.916900,-1.374426,-2.238166,31821.484800,7.791895,12.104764,29.497944,34.775636,-7.785956,-11.784318,-15.769294,33649.174800,7.611463,13.143056,33.426431,39.767739,-8.431574,-13.309761,-17.832868,70600.250500,29.694010,19.347799,28.497925,30.608811,-14.411338,-18.829700,-31.994857,68123.671900,27.841396,17.087527,24.085168,26.399870,-12.904441,-16.420188,-31.455926,28235.468300,7.117272,9.042918,18.068392,20.660960,-6.163898,-8.683910,-13.741609,23331.230000,7.159002,7.459734,14.772996,16.724704,-5.136208,-7.117910,-11.491330,8188.656800,4.010569,3.615812,11.965067,16.124070,-1.821845,-3.030950,-4.373676,8628.866500,4.030178,3.548864,11.423854,15.031160,-1.811635,-2.726375,-4.877858,39456.028300,8.910309,14.929606,35.273575,42.235458,-9.821193,-15.871554,-23.393713,35297.216800,8.705117,13.305971,30.590725,36.176127,-8.573413,-13.468319,-19.149576,Ethanol
78055.213300,42.639909,22.026900,33.379030,35.774810,-17.805714,-23.952853,-39.368601,69534.407000,39.173780,20.586975,33.031095,34.778117,-15.086044,-20.463696,-28.199125,23039.378400,6.671831,7.488084,17.027859,19.370509,-5.179678,-7.131720,-10.442077,22810.216800,6.443073,7.487498,17.422783,20.087930,-5.111843,-7.185540,-10.421692,3918.884700,2.975859,1.634680,5.329729,7.254979,-0.853159,-1.338838,-2.117451,4304.207700,3.071713,1.748358,5.821334,8.179205,-0.932787,-1.406544,-2.242416,31825.983400,7.892568,12.037958,29.475864,34.411249,-7.854748,-12.018227,-16.500381,33667.951600,7.695757,13.032676,33.029401,39.619717,-8.510259,-13.524739,-18.194965,70675.690600,30.085245,19.190930,28.344756,30.634551,-14.399508,-18.910551,-31.543724,68192.884300,27.928364,17.047344,24.106411,26.090158,-12.892308,-16.592665,-27.652818,28225.490200,7.197863,8.958397,17.862521,19.978743,-6.197008,-8.608676,-13.085069,23207.924800,7.213412,7.408505,14.767096,16.579569,-5.181282,-7.173053,-11.225146,8209.477300,4.061666,3.573882,11.863788,15.869840,-1.826806,-2.955504,-4.391939,8620.938700,4.084486,3.526920,11.373053,15.423553,-1.823211,-2.731293,-4.627886,39428.228500,8.975851,14.790079,35.090024,42.089058,-9.859551,-15.883015,-23.797025,35281.049800,8.804920,13.200359,30.555571,36.163159,-8.623093,-13.411384,-18.909770,Ethanol
77792.244300,42.780663,21.826574,33.107112,34.871193,-17.659019,-23.722643,-37.837187,68957.723000,38.876104,20.614123,33.021122,34.999297,-14.866646,-19.974055,-30.888012,22892.658200,6.572368,7.469658,16.980952,19.357495,-5.073164,-7.098975,-10.204858,22605.820800,6.348587,7.469726,17.472791,19.959255,-5.020284,-7.014607,-10.581344,3895.551500,2.953267,1.625671,5.255795,7.172677,-0.846637,-1.345561,-1.990986,4266.134300,3.051512,1.744046,5.750189,7.715040,-0.912751,-1.408217,-2.336955,31531.653800,7.760886,12.034360,29.446433,35.107700,-7.681943,-11.787175,-16.470411,33353.723100,7.534361,12.976174,32.841934,38.880665,-8.276972,-13.312560,-17.782786,69871.923600,29.991110,19.181977,28.396494,30.921585,-14.107459,-18.661343,-31.542332,67860.907200,28.086476,16.931359,23.834328,25.794418,-12.777915,-16.315219,-27.973377,28074.984900,7.098569,8.918923,17.838501,19.753128,-6.100218,-8.516233,-13.665995,23134.067100,7.141516,7.392200,14.754172,16.431411,-5.075538,-7.082060,-12.023138,8107.324500,4.012092,3.548739,11.687528,15.950844,-1.791680,-2.959493,-5.138008,8531.585000,4.046705,3.509597,11.295941,15.005759,-1.780254,-2.741960,-4.497675,39272.353100,8.841828,14.750793,34.800381,41.563438,-9.684510,-15.461985,-22.433022,35061.866200,8.691448,13.195705,30.584188,36.172493,-8.499885,-13.217931,-20.740315,Ethanol
2609.138800,2.575556,2.360266,11.745052,17.412568,-12.841123,-84.317274,-661.374049,2517.306700,2.589719,2.281411,11.524097,17.216752,-11.178894,-75.055661,-588.162498,4065.893800,2.031654,3.617805,16.108810,19.918625,-4.105066,-27.164078,-6.971982,4530.191400,2.114624,4.009090,17.242496,20.671255,-3.979990,-27.413263,-7.277357,1867.853300,1.972533,1.540027,5.506949,7.879335,-0.772249,-5.377906,-15.153970,2043.331600,2.020470,1.680657,6.029024,8.397772,-0.823982,-5.670690,-11.875217,8331.887200,2.888874,7.337126,30.405406,36.358918,-6.545037,-48.905032,-12.422703,9594.577100,2.984464,8.420603,34.176403,40.790707,-7.012786,-53.551334,-13.717119,1196.879300,1.585087,1.079854,5.401656,8.482212,-9.548931,-73.476273,-610.141193,1098.438000,1.515740,0.992487,4.749779,6.843701,-7.737159,-60.410965,-507.648186,4061.677800,1.921859,3.594716,15.567387,19.613761,-4.821914,-31.876596,-8.664007,3667.765100,2.020233,3.235397,13.854713,17.204693,-4.000681,-26.423047,-7.870792,4273.409200,2.675986,3.465189,12.101104,16.364912,-1.616919,-10.736071,-45.029015,4169.374800,2.578750,3.400941,11.754125,15.786242,-1.558317,-10.541541,-29.402950,12661.279300,3.695923,10.697432,36.270714,43.452101,-7.684352,-59.976589,-118.265526,10947.245100,3.561101,9.288831,31.878680,38.044684,-6.607392,-52.431200,-72.831286,Ethanol
4301.918500,2.460572,3.847169,17.437667,23.054435,-13.228209,-83.430128,-659.961476,4326.546400,2.413980,3.886128,17.844071,24.027581,-11.457012,-74.817359,-581.867490,4942.901800,2.016690,4.314226,16.843084,19.255616,-4.266684,-28.060703,-7.283227,5375.488800,2.074389,4.657613,17.439330,20.064964,-4.105542,-28.056012,-7.874122,1898.467800,1.859752,1.529220,5.121307,6.911733,-0.812514,-5.481176,-15.972007,2066.582000,1.902741,1.649640,5.652263,7.496010,-0.862170,-5.810864,-12.802054,9709.419500,2.720813,8.342665,30.016571,35.247621,-6.788079,-50.171473,-13.400096,11004.031300,2.789107,9.441819,33.452419,39.319322,-7.263699,-54.461054,-15.879712,2166.294500,1.505625,1.990045,9.295748,13.055272,-9.661580,-72.975813,-622.868157,2052.190400,1.431678,1.891860,8.632639,11.618694,-7.907243,-60.034679,-509.095797,4990.724100,1.893878,4.347215,16.928810,19.857426,-4.952622,-32.659360,-9.537580,4431.081600,1.983083,3.836163,14.455873,16.476830,-4.110554,-27.007275,-8.942778,4372.328100,2.408808,3.441541,11.554275,15.643485,-1.692132,-10.860055,-47.079604,4238.842300,2.307267,3.352758,11.195778,14.690007,-1.633521,-10.739258,-32.254977,14145.252900,3.247707,11.645620,35.941736,42.278586,-8.097470,-61.250000,-122.205454,12313.366200,3.163930,10.170723,31.543702,37.171743,-7.011035,-54.015488,-72.306252,Ethanol
